id,name,name_cn,type,description,founded_year,country
P006,Intel 4,Intel 4nm,ProcessNode,Intel第一款采用EUV光刻的工艺节点，晶体管密度比Intel 7提升20%,2023,USA
P007,Samsung 4nm,三星4nm,ProcessNode,三星4nm GAA工艺节点，用于Exynos和Snapdragon系列,2021,South Korea
P008,Samsung 3nm GAA,三星3nm GAA,ProcessNode,三星全球首款量产3nm GAA工艺，使用多桥沟道场效应晶体管,2022,South Korea
P009,SMIC N+1,中芯N+1,ProcessNode,中芯国际第一代先进工艺，等效约7nm，用于麒麟9000S,2023,China
P010,TSMC 28nm,台积电28nm,ProcessNode,台积电成熟制程工艺节点，广泛用于IoT、汽车、工业芯片,2011,Taiwan
A001,x86-64,x86-64,Architecture,Intel和AMD共同使用的64位指令集架构，桌面服务器市场主流架构,1999,USA
A002,ARM Cortex-X4,Cortex-X4,Architecture,ARM高性能大核架构，用于Snapdragon 8 Gen 3等旗舰移动芯片,2023,UK
A003,ARM Cortex-A510,Cortex-A510,Architecture,ARM高效小核架构，与大核组合使用实现异构计算节能,2021,UK
A004,Zen4,Zen 4,Architecture,AMD第四代Zen CPU微架构，用于Ryzen 7000和EPYC 9004系列,2022,USA
A005,Raptor Cove,Raptor Cove,Architecture,Intel第13/14代酷睿P核微架构，性能相比Golden Cove提升15%,2022,USA
A006,Golden Cove,Golden Cove,Architecture,Intel第12代酷睿P核微架构，Alder Lake首发，支持DDR5,2021,USA
A007,ARM Neoverse N2,Neoverse N2,Architecture,ARM服务器级CPU架构，用于数据中心和云计算场景,2021,UK
A008,Apple Avalanche,Avalanche,Architecture,苹果M2/M3系列高性能大核架构，ARM指令集自研实现,2022,USA
M001,Silicon,硅,Material,最广泛使用的半导体材料，纯度要求极高，是现代集成电路的基础,,
M002,Silicon Carbide,碳化硅,Material,宽禁带半导体材料，耐高温高压，广泛用于电动汽车功率器件,,
M003,Gallium Nitride,氮化镓,Material,宽禁带半导体，用于高频高功率器件和5G基站功率放大器,,
M004,Gallium Arsenide,砷化镓,Material,高电子迁移率半导体，用于高频RF器件和光电子器件,,
M005,Germanium,锗,Material,早期半导体材料，现用于SiGe异质结和高速器件,,
M006,Silicon Germanium,硅锗合金,Material,硅与锗的合金，用于异质结双极晶体管和高速射频电路,,
M007,Hafnium Oxide,氧化铪,Material,高k介电材料，替代传统SiO2作为栅极介电层，用于先进节点,,
M008,Silicon Dioxide,二氧化硅,Material,传统栅极介电材料，也用于隔离和钝化层,,
M009,Copper,铜,Material,自90年代起取代铝作为集成电路互连材料，电阻率更低,,
M010,Cobalt,钴,Material,先进节点中用于局部互连层的材料，替代钨的部分应用,,
M011,EUV Photoresist,EUV光刻胶,Material,专用于EUV光刻工艺的感光材料，需要极高的分辨率和灵敏度,,
M012,High-k Dielectric,高k介电质,Material,介电常数高于SiO2的栅极介电材料，减少漏电流，提高性能,,
D001,FinFET,鳍形场效应晶体管,Device,三维立体栅极结构，从16/14nm节点开始取代平面MOSFET,2011,USA
D002,GAA FET,全环绕栅极场效应晶体管,Device,栅极完全包围沟道的晶体管结构，比FinFET更好的静电控制，用于3nm以下,2022,South Korea
D003,MOSFET,金属氧化物场效应晶体管,Device,最基础的场效应晶体管类型，集成电路的基本构建单元,1960,USA
D004,CMOS,互补金属氧化物半导体,Device,由NMOS和PMOS互补组成的电路结构，是现代数字集成电路主流工艺,1963,USA
D005,DRAM,动态随机存取存储器,Device,主存储器主要类型，需要定期刷新，速度快密度高,1968,USA
D006,SRAM,静态随机存取存储器,Device,不需要刷新的随机存取存储器，速度更快，功耗更高，用于CPU缓存,1963,USA
D007,NAND Flash,NAND闪存,Device,非易失性存储器，用于固态硬盘和移动存储，写前需先擦除,1989,Japan
D008,HBM,高带宽存储器,Device,三维堆叠的高速内存，通过硅通孔连接，用于AI加速卡和高性能GPU,2013,USA
D009,DDR5,第五代双倍数据率内存,Device,最新一代DDR内存标准，带宽和容量相比DDR4大幅提升,2020,USA
D010,LPDDR5,低功耗DDR5内存,Device,移动设备专用高性能内存，在DDR5基础上优化功耗,2020,South Korea
D011,NPU,神经网络处理单元,Device,专用于神经网络推理的硬件单元，集成于现代SoC中加速AI任务,2017,China
D012,PCIe 5.0,PCIe 5.0接口,Device,高速串行扩展总线第五代标准，带宽较PCIe 4.0翻倍至32GT/s,2019,USA
AP001,移动终端处理,Mobile Computing,Application,智能手机和平板电脑中的计算任务，需要高能效比,,
AP002,服务器计算,Server Computing,Application,数据中心和企业级服务器的计算工作负载，需要高吞吐量和可靠性,,
AP003,AI训练,AI Training,Application,大规模神经网络训练任务，需要极高算力和内存带宽,,
AP004,AI推理,AI Inference,Application,部署后的神经网络推理任务，需要低延迟和高吞吐,,
AP005,图形渲染,Graphics Rendering,Application,3D图形和实时游戏画面渲染，需要大量并行浮点计算,,
AP006,高性能计算,HPC,Application,科学仿真、气候模拟等高性能计算任务，需要高精度浮点运算,,
AP007,物联网终端,IoT,Application,低功耗的物联网设备应用，需要极低的功耗和成本,,
AP008,汽车电子,Automotive Electronics,Application,智能驾驶、车载信息娱乐等汽车电子应用，需要高可靠性和宽温度范围,,
AP009,5G基站通信,5G Base Station,Application,5G无线基站的信号处理，需要高频高功率的射频器件,,
AP010,数据中心,Data Center,Application,大规模数据处理、存储和云服务的基础设施,,
AP011,边缘计算,Edge Computing,Application,靠近数据源的本地计算，需要平衡算力和功耗,,
AP012,游戏主机,Gaming Console,Application,游戏主机的计算和图形处理，需要高图形性能和低延迟,,
AP013,个人电脑,Personal Computer,Application,桌面PC和笔记本电脑的日常计算任务,,
AP014,无线通信,Wireless Communication,Application,蜂窝网络、WiFi等无线通信信号处理,,
AP015,嵌入式控制,Embedded Control,Application,工业控制、家电等嵌入式系统应用，需要实时响应能力,,
T001,EUV光刻,EUV Lithography,Technology,极紫外光刻技术，波长13.5nm，是7nm以下节点量产的关键技术,,
T002,DUV光刻,DUV Lithography,Technology,深紫外光刻技术，波长193nm，通过多重图案化技术延伸至先进节点,,
T003,原子层沉积,ALD,Technology,逐原子层沉积薄膜的技术，用于沉积高k栅介质和金属栅等超薄膜,,
T004,化学气相沉积,CVD,Technology,通过化学反应在衬底上沉积薄膜的工艺，广泛用于各种薄膜的沉积,,
T005,化学机械平坦化,CMP,Technology,将晶圆表面平坦化的工艺，对于多层互连结构至关重要,,
T006,离子注入,Ion Implantation,Technology,向半导体材料中掺入特定杂质的工艺，精确控制掺杂浓度和深度,,
T007,多重图案化,Multi-Patterning,Technology,通过多次曝光实现比单次光刻更小特征尺寸的技术,,
T008,先进封装,Advanced Packaging,Technology,2.5D和3D集成技术，包括CoWoS、SoIC等，提升芯片集成密度,,
T009,3D堆叠,3D Stacking,Technology,将多个芯片或存储器垂直堆叠的技术，提升存储密度和带宽,,
T010,硅通孔技术,Through-Silicon Via (TSV),Technology,在硅芯片中制作垂直互连通道，实现芯片间高密度连接的技术,,
